Machine_ID,Factory_ID,Production_Line,Machine_Type,Installation_Year,Temperature_C,Vibration_mm_s,Pressure_bar,Voltage_V,Current_A,Humidity_Percent,Noise_dB,RPM,Torque_Nm,Power_kW,Runtime_Hours,Downtime_Hours,Production_Count,Utilization_Percent,Maintenance_Cost_USD,Ambient_Temperature,Air_Quality_Index,Dust_Level,Failure_Flag,Failure_Type,Days_To_Failure,Criticality_Level,Last_Maintenance_Date,Maintenance_Type,Maintenance_Team,Spare_Parts_Replaced,Timestamp,Day_of_Week,Month,Quarter,Energy_Consumption_kWh,Efficiency_Score,Battery_Backup_Status,Sensor_Health_Score,Predictive_Risk_Score,Remaining_Useful_Life
M04351,F085,12,CNC,2018,60.87,10.15,14.46,320.11,34.62,64.25,74.03,4195,708.76,493.56,31135.87,2436.63,80425,82.11,19178.82,42.6,292,3.92,0,Overheating,122,Low,2024-02-03 05:46:00,Corrective,Team_17,13,2024-07-24 05:46:00,Wednesday,7,3,1469.9,91.6,Unavailable,74.56,42.28,767
M04501,F073,10,Lathe,2020,94.28,2.48,7.19,389.8,115.01,38.03,85.55,4509,109.28,70.01,33225.99,4528.53,21019,76.02,1211.11,17.75,124,95.58,0,Bearing Failure,276,Low,2023-02-23 13:35:00,Emergency,Team_18,12,2023-07-19 13:35:00,Wednesday,7,3,3759.03,90.49,Unavailable,72.48,38.47,41
M00278,F003,4,Pump,2010,37.95,15.47,12.37,246.48,66.71,54.09,86.17,3474,870.95,88.43,37092.14,124.73,72724,92.53,17508.82,24.24,133,58.39,0,Sensor Fault,57,Low,2024-09-07 21:49:00,Emergency,Team_17,3,2025-03-01 21:49:00,Saturday,3,1,3681.59,61.47,Available,91.97,64.03,507
M00501,F012,10,Compressor,2022,74.16,0.79,8.83,370.98,49.87,35.09,94.66,1816,482.81,444.89,42479.27,482.61,28544,67.06,3483.89,25.56,70,32.06,0,Bearing Failure,137,Medium,2024-04-23 22:53:00,Corrective,Team_13,2,2024-08-14 22:53:00,Wednesday,8,3,1754.17,52.14,Unavailable,79.74,25.9,1150
M03966,F020,4,CNC,2018,74.11,16.29,11.55,441.45,179.51,30.75,64.47,3337,489.3,29.5,23317.86,1141.01,82300,60.12,7376.99,39.75,188,19.95,1,Motor Failure,147,Medium,2025-10-31 16:14:00,Corrective,Team_2,2,2025-12-29 16:14:00,Monday,12,4,7578.1,58.78,Unavailable,91.2,82.77,272
M02757,F042,16,Compressor,2011,83.17,6.2,3.79,277.21,56.95,42.72,91.07,2172,518.89,460.73,38011.72,3850.65,19901,47.63,17993.77,35.9,169,40.42,0,Overheating,155,Medium,2023-02-03 10:12:00,Corrective,Team_16,5,2023-03-07 10:12:00,Tuesday,3,1,7789.97,55.23,Available,62.87,35.52,698
M04726,F041,1,Compressor,2017,40.78,12.32,8.33,368.22,181.56,21.08,54.23,753,835.8,465.87,21309.56,634.87,56285,76.69,5296.61,12.97,23,35.12,1,Power Failure,263,Critical,2023-08-31 02:24:00,Emergency,Team_17,8,2023-12-26 02:24:00,Tuesday,12,4,3466.62,57.26,Available,63.56,76.43,846
M01980,F075,14,Lathe,2012,22.01,9.03,4.0,248.37,126.71,88.29,107.71,2821,118.37,458.2,45671.45,4552.8,16193,80.21,4404.8,29.0,120,57.34,1,Motor Failure,315,Critical,2023-04-11 02:28:00,Preventive,Team_13,10,2023-05-11 02:28:00,Thursday,5,2,594.11,65.08,Unavailable,74.39,29.36,341
M03003,F069,16,CNC,2020,109.78,13.05,11.29,479.05,137.14,33.03,66.79,846,777.77,213.01,34364.39,4244.59,92048,64.39,684.94,14.3,124,12.25,0,Bearing Failure,174,Low,2024-07-15 15:47:00,Emergency,Team_20,5,2024-09-15 15:47:00,Sunday,9,3,3450.33,61.71,Available,81.31,9.94,1950
M00512,F048,15,Lathe,2017,117.69,18.94,4.19,436.95,65.89,66.56,85.22,3561,905.4,61.62,993.1,12.66,47026,73.83,13640.23,22.11,129,33.33,0,Bearing Failure,352,High,2024-02-01 15:09:00,Corrective,Team_7,1,2024-03-05 15:09:00,Tuesday,3,1,7671.32,59.78,Available,88.53,63.21,433
M03693,F081,3,Pump,2011,97.36,8.48,2.26,345.95,116.31,49.34,109.08,792,295.2,252.8,45678.83,1039.58,17125,91.48,717.09,18.14,140,77.8,0,Bearing Failure,99,High,2024-01-15 05:46:00,Emergency,Team_19,1,2024-07-10 05:46:00,Wednesday,7,3,5117.52,96.9,Unavailable,82.39,37.51,1703
M03073,F030,12,Robot,2012,77.99,3.32,10.8,249.7,185.5,75.88,111.69,1493,448.47,99.09,434.02,4236.27,26004,47.71,11287.02,16.72,216,2.86,0,,343,Critical,2024-03-12 17:37:00,Corrective,Team_3,6,2024-03-27 17:37:00,Wednesday,3,1,5138.34,75.1,Unavailable,97.44,82.68,1592
M04480,F048,20,Lathe,2012,92.41,9.97,11.12,247.81,64.9,70.03,64.85,4450,499.34,252.04,5832.15,1763.18,19170,90.75,4427.99,20.55,35,9.42,0,Overheating,29,Medium,2025-08-12 09:37:00,Corrective,Team_4,8,2025-08-24 09:37:00,Sunday,8,3,5339.53,57.95,Available,99.31,65.44,1464
M04518,F058,6,Lathe,2022,39.54,7.25,1.95,218.28,127.23,56.73,109.76,957,870.28,335.36,22975.73,1772.94,44907,41.28,7481.46,25.87,147,13.04,0,Power Failure,54,Medium,2024-09-26 15:41:00,Corrective,Team_20,12,2025-02-13 15:41:00,Thursday,2,1,8592.32,74.29,Available,67.56,13.06,1309
M04492,F071,3,Robot,2014,111.16,19.69,8.29,295.94,36.14,38.29,109.92,2304,548.32,428.97,41078.34,3641.81,70277,85.01,6552.67,35.38,256,62.15,0,Motor Failure,322,Low,2023-10-02 19:45:00,Inspection,Team_12,7,2023-12-28 19:45:00,Thursday,12,4,5814.15,96.83,Available,61.3,81.05,1661
M03009,F072,3,Robot,2012,84.48,13.25,14.37,365.74,194.53,83.39,87.26,1176,700.37,289.02,30110.34,2961.68,3357,80.48,8645.51,30.66,24,61.45,0,Power Failure,285,Medium,2024-09-06 18:22:00,Preventive,Team_16,14,2024-10-11 18:22:00,Friday,10,4,8582.55,83.01,Unavailable,63.9,14.18,192
M03079,F087,17,Pump,2023,64.96,5.97,11.09,326.17,138.82,66.53,64.12,3133,949.74,309.42,1841.07,4913.7,9332,55.61,3194.09,19.11,111,69.39,0,Overheating,204,Low,2024-03-09 03:59:00,Preventive,Team_12,1,2024-04-15 03:59:00,Monday,4,2,3547.07,65.21,Available,79.83,70.13,1529
M00549,F033,14,Pump,2022,78.37,17.68,2.74,351.92,112.88,57.7,117.93,553,20.13,389.44,23719.25,2961.76,86420,63.63,3762.66,11.8,131,28.91,0,,167,Medium,2023-02-05 11:51:00,Inspection,Team_8,13,2023-07-31 11:51:00,Monday,7,3,6645.83,60.78,Unavailable,64.03,71.9,1920
M00773,F058,15,Conveyor,2011,59.62,9.16,6.32,437.1,156.81,64.82,68.69,863,962.37,2.39,31291.45,3190.88,97374,85.48,17284.72,20.09,52,56.32,0,Motor Failure,180,Medium,2024-02-23 16:18:00,Emergency,Team_8,7,2024-03-16 16:18:00,Saturday,3,1,2248.94,81.31,Unavailable,75.06,47.26,1356
M01487,F047,16,Lathe,2023,80.39,17.54,12.2,239.57,150.99,80.97,115.29,1654,839.34,342.03,28340.33,3416.12,64333,69.96,13636.7,33.99,203,73.56,0,,137,Low,2023-11-05 20:22:00,Inspection,Team_15,8,2024-03-29 20:22:00,Friday,3,1,2004.27,82.97,Unavailable,78.43,18.65,729
M03841,F092,4,Pump,2023,90.09,6.08,3.65,355.97,59.34,89.99,89.47,4596,715.34,335.23,47417.7,941.95,11092,97.91,11754.52,17.46,261,28.64,0,Motor Failure,275,Medium,2023-12-19 06:34:00,Inspection,Team_18,0,2024-02-18 06:34:00,Sunday,2,1,5727.61,51.8,Available,75.22,54.25,91
M02975,F020,16,Lathe,2011,30.0,2.65,11.39,426.43,189.73,48.5,105.4,1642,984.87,264.97,27910.39,959.65,2449,51.64,638.35,37.72,36,45.21,0,Overheating,162,Critical,2025-02-28 16:31:00,Preventive,Team_11,7,2025-06-14 16:31:00,Saturday,6,2,9196.25,97.14,Unavailable,75.86,66.4,583
M02695,F011,12,Pump,2016,94.38,7.06,5.64,265.97,79.18,88.62,104.62,2694,117.94,67.6,3288.08,2529.77,6258,40.13,13778.88,21.01,256,48.63,0,Bearing Failure,37,Low,2023-06-25 08:55:00,Preventive,Team_10,7,2023-09-09 08:55:00,Saturday,9,3,9456.48,87.97,Available,90.77,88.72,263
M02216,F017,7,Robot,2016,47.62,14.71,9.03,475.33,72.67,69.33,115.52,3775,815.91,164.46,22346.27,647.51,43209,63.96,1494.14,28.78,288,43.21,0,Bearing Failure,234,Critical,2023-03-22 19:11:00,Corrective,Team_6,5,2023-07-05 19:11:00,Wednesday,7,3,83.19,92.14,Unavailable,83.09,60.54,1213
M04222,F041,2,Pump,2018,119.03,18.25,2.16,380.33,90.0,53.54,56.24,2533,140.23,421.2,38067.64,3601.37,94402,90.98,9637.93,27.25,184,5.07,0,Overheating,184,Medium,2025-05-01 06:21:00,Emergency,Team_11,5,2025-05-21 06:21:00,Wednesday,5,2,509.59,74.86,Available,60.81,37.01,1789
M03286,F091,12,Conveyor,2018,119.77,3.64,12.38,358.94,27.53,49.17,104.93,2093,560.32,466.73,23489.74,4781.35,41790,90.51,13775.42,21.53,66,5.14,0,Motor Failure,162,Medium,2023-10-22 18:56:00,Emergency,Team_20,14,2024-03-20 18:56:00,Wednesday,3,1,1908.2,89.5,Unavailable,71.7,89.6,569
M02629,F079,2,CNC,2022,75.77,16.43,4.87,379.39,23.26,69.48,106.85,2981,272.05,168.89,44380.58,1662.31,34975,42.57,11420.15,31.55,130,25.5,0,Power Failure,219,Critical,2023-10-23 04:06:00,Preventive,Team_5,11,2024-03-04 04:06:00,Monday,3,1,3442.32,76.39,Available,69.79,87.82,1153
M01675,F095,13,Conveyor,2018,27.82,4.14,14.78,427.92,119.32,51.95,59.7,3974,620.25,331.02,37946.22,2347.73,28465,82.07,7276.08,20.99,132,12.67,0,Overheating,67,High,2023-06-09 23:37:00,Inspection,Team_1,13,2023-11-23 23:37:00,Thursday,11,4,1082.23,76.64,Available,67.54,70.51,1823
M03389,F083,19,Robot,2010,72.44,19.29,11.23,228.52,25.17,36.17,82.14,3921,349.68,86.63,27421.85,1741.32,27142,76.76,18934.94,17.92,183,35.06,0,Bearing Failure,47,Critical,2023-02-20 07:55:00,Preventive,Team_13,10,2023-03-07 07:55:00,Tuesday,3,1,8494.11,77.12,Available,68.4,80.61,657
M02134,F093,8,Compressor,2012,73.9,15.63,4.86,434.9,172.38,62.79,113.92,3314,239.2,187.27,47805.15,4149.65,28871,64.22,1362.71,36.84,215,31.53,0,Power Failure,147,Low,2025-03-10 11:29:00,Inspection,Team_8,14,2025-05-26 11:29:00,Monday,5,2,6818.1,81.17,Available,73.22,63.8,929
M03196,F035,17,Conveyor,2018,110.34,9.71,3.17,367.25,157.18,83.34,114.15,3971,175.05,392.96,30045.66,1634.31,17598,41.39,16040.03,27.27,226,3.66,0,,358,Low,2022-09-02 03:31:00,Corrective,Team_6,13,2023-01-21 03:31:00,Saturday,1,1,7430.82,55.46,Available,75.43,1.55,99
M01178,F028,17,Compressor,2014,75.77,6.27,8.37,455.92,110.8,58.3,60.19,4595,893.92,6.66,48141.23,3905.95,11668,63.78,19621.74,41.38,30,37.62,0,Sensor Fault,66,Low,2024-12-29 09:30:00,Emergency,Team_3,1,2025-06-18 09:30:00,Wednesday,6,2,5995.36,75.12,Available,93.5,9.69,1073
M00304,F036,6,Compressor,2014,24.44,17.57,8.26,288.71,92.82,70.23,107.86,3628,956.19,30.72,37453.44,557.85,39537,86.89,10906.31,13.57,215,91.97,0,Overheating,122,Low,2024-05-28 22:42:00,Preventive,Team_13,0,2024-10-04 22:42:00,Friday,10,4,9371.8,86.52,Unavailable,61.16,74.85,409
M01260,F059,5,CNC,2015,99.99,1.84,6.92,470.66,21.6,24.74,62.54,1505,711.23,20.26,20839.41,1863.69,38908,86.13,2846.54,31.91,232,1.93,0,,79,High,2024-03-16 05:20:00,Emergency,Team_7,9,2024-06-21 05:20:00,Friday,6,2,2148.23,88.36,Available,66.19,46.69,1311
M04584,F084,16,Conveyor,2021,65.33,10.94,5.78,477.23,142.19,48.98,76.2,4275,979.81,306.73,5944.71,1146.51,78397,64.44,14414.22,31.56,242,63.32,0,,41,Critical,2024-01-30 18:45:00,Preventive,Team_18,1,2024-04-20 18:45:00,Saturday,4,2,1938.25,61.58,Available,63.44,13.36,434
M04909,F034,7,Compressor,2015,110.25,5.57,10.34,462.14,158.06,30.52,96.62,2686,764.26,392.68,43763.28,3527.15,72225,81.53,5307.4,34.7,243,29.6,0,Overheating,122,Low,2024-04-09 12:38:00,Inspection,Team_5,12,2024-05-07 12:38:00,Tuesday,5,2,7507.91,51.92,Available,99.22,90.23,888
M04447,F001,16,Conveyor,2023,96.96,4.11,3.77,303.74,114.8,54.38,86.65,2113,834.82,177.41,34666.42,1558.13,31224,54.53,3857.11,44.62,99,13.54,0,,115,High,2025-07-13 07:24:00,Preventive,Team_12,14,2025-09-03 07:24:00,Wednesday,9,3,3407.05,80.04,Unavailable,65.64,12.7,451
M02407,F081,10,Pump,2022,90.23,15.1,12.16,419.29,72.07,49.84,95.33,2289,103.37,135.36,30779.1,3437.65,76653,67.97,7445.84,27.38,113,41.3,0,Motor Failure,49,Medium,2024-11-18 12:49:00,Preventive,Team_17,14,2024-12-15 12:49:00,Sunday,12,4,4020.57,65.55,Unavailable,82.31,10.67,1204
M04494,F054,2,Pump,2012,54.19,4.12,9.28,231.73,104.55,54.37,107.61,2652,583.83,174.17,48698.18,4424.68,70582,87.11,3097.68,30.26,267,0.38,0,Sensor Fault,47,Low,2023-03-16 09:16:00,Emergency,Team_9,0,2023-09-08 09:16:00,Friday,9,3,4420.63,71.49,Unavailable,81.07,53.36,1322
M01793,F063,3,Lathe,2019,48.47,18.91,14.89,335.66,44.34,49.04,111.67,4382,958.33,212.35,14261.45,1632.23,8882,50.98,11337.25,16.8,290,84.38,0,Motor Failure,322,Medium,2023-10-06 22:01:00,Emergency,Team_4,10,2024-03-29 22:01:00,Friday,3,1,596.28,75.47,Available,64.12,21.75,1359
M03904,F090,9,Robot,2016,32.73,8.92,3.78,284.35,175.66,86.39,92.55,2156,200.45,227.84,37636.05,2558.62,19936,81.8,6093.3,39.48,93,9.46,0,Bearing Failure,97,Critical,2023-07-15 21:55:00,Preventive,Team_14,1,2023-12-15 21:55:00,Friday,12,4,4797.0,93.12,Unavailable,93.0,65.46,1155
M01595,F003,10,Lathe,2010,55.54,8.61,4.68,239.87,183.26,36.77,75.91,2388,209.1,490.64,48680.43,4445.84,99542,91.91,6589.12,34.6,204,96.14,1,Sensor Fault,319,Low,2022-10-15 23:59:00,Corrective,Team_19,0,2023-02-19 23:59:00,Sunday,2,1,1788.99,51.4,Available,91.56,24.45,1594
M01942,F052,20,Robot,2020,112.9,6.79,6.16,210.37,142.96,83.35,55.67,3445,893.81,210.65,2183.86,1023.68,44071,76.87,18708.28,22.95,271,99.94,0,Motor Failure,189,Low,2025-03-29 14:12:00,Preventive,Team_9,4,2025-08-22 14:12:00,Friday,8,3,2465.61,58.8,Available,96.75,96.37,181
M00827,F066,9,Robot,2011,83.4,8.09,5.63,453.22,63.15,40.51,105.27,4117,29.98,197.96,23495.98,383.27,93514,78.18,4566.64,35.37,261,26.51,0,Motor Failure,226,Critical,2024-06-15 06:16:00,Corrective,Team_2,12,2024-12-05 06:16:00,Thursday,12,4,1615.75,72.52,Available,87.77,33.78,1050
M03293,F004,11,Compressor,2023,69.56,11.36,10.18,357.86,127.73,56.81,93.29,4804,253.93,347.38,37887.7,264.81,94428,98.57,18438.76,39.91,76,65.54,0,Sensor Fault,345,Low,2024-02-07 18:01:00,Preventive,Team_13,11,2024-04-24 18:01:00,Wednesday,4,2,8031.15,56.21,Unavailable,79.59,3.51,1292
M00129,F095,11,Robot,2017,119.03,2.65,14.81,306.1,72.26,22.87,92.13,4506,377.92,6.65,35172.2,1497.79,17551,77.65,19842.92,19.41,100,88.23,0,Overheating,250,High,2024-11-18 08:10:00,Preventive,Team_4,12,2025-05-09 08:10:00,Friday,5,2,37.37,59.49,Available,67.94,86.7,1068
M02187,F085,3,CNC,2019,84.96,3.91,5.48,347.38,181.91,38.59,64.52,3778,431.53,149.0,30100.73,2016.24,11969,97.01,10508.12,15.53,74,24.21,0,Overheating,63,Medium,2025-06-21 17:05:00,Preventive,Team_16,0,2025-10-02 17:05:00,Thursday,10,4,1927.13,96.19,Unavailable,86.52,60.21,858
M00567,F088,1,Pump,2021,38.21,4.44,3.19,291.84,39.84,71.36,118.78,1915,723.27,45.6,8958.74,2260.59,9229,65.5,3142.2,41.29,288,45.66,0,Overheating,290,Medium,2025-02-04 23:11:00,Preventive,Team_16,6,2025-05-03 23:11:00,Saturday,5,2,4419.28,50.69,Unavailable,80.91,54.26,259
M02085,F099,3,Robot,2022,32.75,17.76,13.06,418.78,124.46,36.82,109.29,2046,236.71,246.2,17616.78,3397.39,14702,86.69,18338.76,44.01,299,29.61,0,Motor Failure,259,High,2024-05-02 11:00:00,Corrective,Team_12,5,2024-10-07 11:00:00,Monday,10,4,4912.28,64.66,Unavailable,76.1,0.21,148
M03469,F013,1,Conveyor,2022,83.04,11.31,9.24,234.14,99.66,65.17,85.73,1439,179.05,290.42,43787.83,1411.9,68182,41.76,8879.23,36.88,88,53.98,0,Overheating,279,Critical,2024-10-14 07:13:00,Corrective,Team_4,13,2024-11-24 07:13:00,Sunday,11,4,1154.32,88.26,Available,76.99,83.35,487
M00246,F070,8,CNC,2016,71.96,15.78,6.64,387.83,157.07,38.14,64.37,4838,512.31,257.68,34757.07,4147.82,27070,57.48,13278.42,24.32,88,72.94,0,Motor Failure,191,Medium,2025-06-05 15:54:00,Corrective,Team_16,10,2025-07-10 15:54:00,Thursday,7,3,126.14,74.59,Available,85.65,43.41,574
M00522,F026,11,Pump,2019,38.71,8.15,14.65,472.58,84.69,39.21,99.74,4912,129.39,191.4,220.13,4827.12,47883,50.52,19295.69,37.84,74,93.7,0,Power Failure,100,Medium,2023-04-10 04:25:00,Corrective,Team_6,0,2023-07-11 04:25:00,Tuesday,7,3,5248.88,79.48,Available,94.89,71.64,325
M01199,F075,6,Conveyor,2016,84.96,13.83,2.32,265.48,189.14,53.94,77.61,2437,311.06,348.71,18172.5,1376.09,8239,99.15,15651.27,33.55,135,86.45,0,,232,High,2022-11-18 18:53:00,Emergency,Team_5,12,2023-05-08 18:53:00,Monday,5,2,7803.51,58.04,Available,93.69,51.12,1252
M03032,F086,6,Conveyor,2023,30.73,17.28,6.34,471.75,137.37,65.41,89.46,1904,966.25,76.38,12320.43,4188.1,60586,61.34,12460.36,21.76,196,0.25,0,,127,Medium,2023-11-08 09:54:00,Emergency,Team_18,8,2023-12-02 09:54:00,Saturday,12,4,5789.58,73.32,Available,81.87,22.64,998
M01317,F065,11,Lathe,2014,101.26,4.96,1.83,447.21,167.39,41.01,96.57,4553,533.06,104.59,19964.07,3459.25,66243,45.51,11411.91,37.39,251,17.46,1,Motor Failure,247,Low,2024-02-27 17:43:00,Emergency,Team_20,4,2024-06-28 17:43:00,Friday,6,2,5486.8,70.97,Unavailable,64.92,16.03,284
M04167,F096,13,Conveyor,2018,42.76,18.76,12.9,281.29,29.8,24.48,56.26,3665,11.45,473.13,1803.09,2166.58,49739,73.22,108.1,20.96,143,40.37,0,Power Failure,160,Medium,2023-02-18 13:31:00,Inspection,Team_1,4,2023-07-19 13:31:00,Wednesday,7,3,7106.39,93.09,Available,76.79,29.79,291
M02196,F002,12,Lathe,2021,92.94,19.88,6.45,372.72,165.18,81.7,74.24,4685,371.43,459.94,44542.68,3706.56,27319,58.09,7089.67,33.62,165,19.9,0,Sensor Fault,235,High,2024-12-13 21:39:00,Preventive,Team_13,10,2025-02-17 21:39:00,Monday,2,1,2509.72,55.21,Available,92.43,19.78,1201
M04687,F048,6,Lathe,2017,99.44,2.73,6.8,379.68,185.89,21.05,81.29,961,529.15,226.74,48076.32,4258.41,7654,63.65,1458.52,14.54,148,94.8,0,Motor Failure,358,Critical,2025-01-15 02:20:00,Emergency,Team_2,9,2025-03-14 02:20:00,Friday,3,1,3218.09,89.78,Available,70.77,5.18,1504
M02821,F053,16,Robot,2019,30.43,12.7,9.66,309.69,64.46,66.62,95.95,3443,623.23,373.7,16857.44,398.68,64437,96.41,2629.81,13.42,208,75.59,0,Bearing Failure,129,Critical,2025-06-20 22:16:00,Corrective,Team_14,7,2025-12-06 22:16:00,Saturday,12,4,4831.76,82.95,Unavailable,88.63,63.53,1543
M04217,F083,14,Robot,2022,64.87,2.45,13.87,339.89,112.82,20.28,66.48,3914,471.43,238.96,19309.52,1006.57,12053,69.16,5411.09,32.41,243,80.84,1,,295,High,2023-05-08 10:17:00,Inspection,Team_11,0,2023-10-27 10:17:00,Friday,10,4,1097.19,81.87,Unavailable,96.55,75.91,1214
M04725,F100,10,CNC,2010,60.66,18.83,14.85,474.07,198.11,89.06,61.86,1166,567.48,31.62,5202.99,4905.67,55492,42.52,14715.3,40.75,263,41.69,0,Power Failure,330,Medium,2023-06-16 06:59:00,Preventive,Team_14,2,2023-09-05 06:59:00,Tuesday,9,3,9377.38,90.83,Available,65.67,65.74,1815
M01428,F020,12,Lathe,2023,63.45,14.65,4.19,208.93,27.94,46.31,98.04,4999,66.21,265.83,34061.7,4263.24,89695,88.13,16536.69,14.7,63,46.89,0,Overheating,317,Medium,2025-04-21 12:20:00,Preventive,Team_3,9,2025-04-28 12:20:00,Monday,4,2,6820.65,72.87,Unavailable,96.91,36.98,289
M00113,F089,8,Pump,2019,77.1,17.76,5.36,421.47,47.19,57.49,114.8,682,855.47,290.32,1070.76,2922.33,10953,82.85,4204.41,13.4,291,94.93,0,Motor Failure,56,Critical,2024-11-19 18:22:00,Preventive,Team_9,1,2025-01-04 18:22:00,Saturday,1,1,1086.79,94.14,Unavailable,86.16,65.12,1387
M04257,F037,12,Compressor,2011,86.07,12.03,14.72,417.0,115.87,54.45,92.52,966,772.07,434.57,17725.67,2106.16,93699,85.17,5638.57,33.36,90,93.89,0,Power Failure,13,Medium,2024-12-09 21:35:00,Inspection,Team_11,12,2025-03-02 21:35:00,Sunday,3,1,7576.83,94.63,Unavailable,83.82,9.49,1854
M02011,F070,8,Pump,2020,84.85,0.66,6.83,460.54,105.76,63.15,85.71,2846,692.23,36.91,22024.14,38.24,11064,84.94,19367.17,10.0,199,36.7,0,Overheating,79,Medium,2023-11-02 21:39:00,Preventive,Team_14,11,2024-02-29 21:39:00,Thursday,2,1,9330.49,81.9,Available,84.24,69.41,675
M02779,F031,2,Robot,2021,94.28,15.03,14.0,358.61,197.52,45.32,75.03,976,716.87,118.82,7802.13,2570.6,79366,64.63,19940.55,31.23,278,74.4,0,Motor Failure,235,Low,2025-08-27 09:49:00,Emergency,Team_10,12,2025-11-03 09:49:00,Monday,11,4,6894.58,95.11,Unavailable,77.2,10.03,279
M02453,F083,12,Compressor,2022,116.5,16.87,7.93,337.68,56.11,71.35,76.63,3897,935.11,5.45,46890.64,2493.47,9639,86.89,17229.27,43.66,78,69.58,0,Power Failure,173,Low,2022-09-15 13:28:00,Corrective,Team_12,9,2023-02-14 13:28:00,Tuesday,2,1,7248.38,61.4,Unavailable,69.87,31.19,252
